Month,Region,Service Line,Payer,Facility Type,Visits,Cost,Readmissions
Jan,North America,Telehealth,Commercial,Hospital,17359,454,551
Jan,North America,Telehealth,Commercial,Clinic,14983,372,375
Jan,North America,Telehealth,Commercial,Outpatient Center,16187,400,409
Jan,North America,Telehealth,Medicare,Hospital,16364,467,633
Jan,North America,Telehealth,Medicare,Clinic,14123,383,431
Jan,North America,Telehealth,Medicare,Outpatient Center,15257,412,469
Jan,North America,Telehealth,Medicaid,Hospital,17032,422,651
Jan,North America,Telehealth,Medicaid,Clinic,14699,346,443
Jan,North America,Telehealth,Medicaid,Outpatient Center,15878,372,482
Jan,North America,Imaging,Commercial,Hospital,10196,650,472
Jan,North America,Imaging,Commercial,Clinic,8800,533,321
Jan,North America,Imaging,Commercial,Outpatient Center,9506,573,350
Jan,North America,Imaging,Medicare,Hospital,9610,669,542
Jan,North America,Imaging,Medicare,Clinic,8293,549,369
Jan,North America,Imaging,Medicare,Outpatient Center,8958,590,402
Jan,North America,Imaging,Medicaid,Hospital,10001,604,557
Jan,North America,Imaging,Medicaid,Clinic,8630,495,379
Jan,North America,Imaging,Medicaid,Outpatient Center,9321,533,413
Jan,North America,Cardiology,Commercial,Hospital,9657,697,921
Jan,North America,Cardiology,Commercial,Clinic,8334,572,627
Jan,North America,Cardiology,Commercial,Outpatient Center,9001,615,683
Jan,North America,Cardiology,Medicare,Hospital,9101,718,1059
Jan,North America,Cardiology,Medicare,Clinic,7853,589,721
Jan,North America,Cardiology,Medicare,Outpatient Center,8482,633,785
Jan,North America,Cardiology,Medicaid,Hospital,9469,648,1088
Jan,North America,Cardiology,Medicaid,Clinic,8170,531,741
Jan,North America,Cardiology,Medicaid,Outpatient Center,8824,571,807
Jan,North America,Emergency Care,Commercial,Hospital,19045,584,993
Jan,North America,Emergency Care,Commercial,Clinic,16433,479,677
Jan,North America,Emergency Care,Commercial,Outpatient Center,17748,515,736
Jan,North America,Emergency Care,Medicare,Hospital,17945,601,1141
Jan,North America,Emergency Care,Medicare,Clinic,15483,493,777
Jan,North America,Emergency Care,Medicare,Outpatient Center,16721,530,846
Jan,North America,Emergency Care,Medicaid,Hospital,18669,542,1173
Jan,North America,Emergency Care,Medicaid,Clinic,16107,445,799
Jan,North America,Emergency Care,Medicaid,Outpatient Center,17394,478,870
Jan,Europe,Telehealth,Commercial,Hospital,15834,418,459
Jan,Europe,Telehealth,Commercial,Clinic,13665,343,313
Jan,Europe,Telehealth,Commercial,Outpatient Center,14762,369,340
Jan,Europe,Telehealth,Medicare,Hospital,14924,430,528
Jan,Europe,Telehealth,Medicare,Clinic,12879,353,359
Jan,Europe,Telehealth,Medicare,Outpatient Center,13911,380,391
Jan,Europe,Telehealth,Medicaid,Hospital,15530,388,542
Jan,Europe,Telehealth,Medicaid,Clinic,13401,319,369
Jan,Europe,Telehealth,Medicaid,Outpatient Center,14474,343,402
Jan,Europe,Imaging,Commercial,Hospital,9298,598,393
Jan,Europe,Imaging,Commercial,Clinic,8024,491,268
Jan,Europe,Imaging,Commercial,Outpatient Center,8666,528,291
Jan,Europe,Imaging,Medicare,Hospital,8762,616,452
Jan,Europe,Imaging,Medicare,Clinic,7561,505,308
Jan,Europe,Imaging,Medicare,Outpatient Center,8166,543,335
